id,track_no,music_id,length
1,1,1,00:05:11
2,2,2,00:05:43
3,3,3,00:05:06
4,4,4,00:04:17
5,5,5,00:05:38
6,6,6,00:05:37
7,7,7,00:04:13
8,8,8,00:05:05
9,9,9,00:04:37
10,10,10,00:03:31
11,11,11,00:04:40
12,12,12,00:05:17
13,13,13,00:05:44
14,14,14,00:05:10
15,1,15,00:03:03
16,2,16,00:03:34
17,3,17,00:03:27
18,4,18,00:03:26
19,5,19,00:03:29
20,6,20,00:03:44
21,7,21,00:02:56
22,8,22,03:20:00
23,9,23,00:03:09
24,10,24,00:03:24
25,11,25,00:02:43
26,12,26,00:03:19
27,13,27,00:02:50
28,1,28,00:03:51
29,2,29,00:05:48
30,3,30,00:04:42
31,4,31,00:04:42
32,5,32,00:03:48
33,6,33,00:03:43
34,7,34,00:04:21
35,8,35,00:05:43
36,9,36,00:05:30
37,10,37,00:05:33
38,11,38,00:04:45
39,12,39,00:03:49
40,13,40,00:04:55
41,14,41,00:04:43
42,15,42,00:05:18
